batch,barcode,genotype,media,replicate,culture,condition,A,K,P,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B5,1,WT,Ctrl,1,WT_Ctrl,B5_WT_Ctrl_1,0,0,0,0.012774679332952066,-0.11086241998659166,0.039983030649516846,-0.007053156516822919,-0.16422144489160212,0.03425893963879784,-0.016884226848386325,0.009577260765085416,0.022617192850832555,0.018432459637189442,0.01794116883562029,0.01129622241852665,-0.0343210081998523,0.02699929743211899,0.023839837511428867,-0.02496404039364573,0.03246007997964919,0.026959900392219262,0.034500331096402936,0.05333363589555612,-0.011350162334403426,-0.045880210730742416,-0.01020627711970689,0.014524251726974038,0.01462096851404261,0.018722620073392943,0.02991644954309715,0.025476667986398558,0.01746777034257664,0.014155520932497896,0.022681637970480593,0.011785177171627761,0.01629496373062652,-0.027322914281004383,0.0748678733085404,-0.00921300889989719,-0.2593191755073545,0.009425128856335093,0.009481697561637626,0.01950921578634441,0.03439070433572375,-0.021616622414227196
B5,2,WT,Ctrl,2,WT_Ctrl,B5_WT_Ctrl_2,0,0,0,0.01242933193557368,0.027239132434175944,-0.039754615721835806,0.023730440089347278,0.3325304689594247,0.06319384523764064,0.06495602966581969,0.05008330156412129,0.01837217348708818,0.04763910650305865,0.05371559945099787,0.0446127185632528,0.0805815620231522,0.031788457549734965,0.04422834749460249,0.03418119112124187,0.029613855395437684,0.03943016327128131,0.028316165563321147,-0.027477496968212677,0.056183254222043524,0.08042182655511045,0.018974434923062507,0.0182026603720698,0.03679200198888072,0.04416892539042842,0.010677624384010835,0.03244702725218278,0.03854675967394321,0.026627879715845588,0.03927207757875044,0.0344183226135576,0.050417209547054975,0.08235990121712075,-0.047852871003478195,0.03734226811988956,0.23983755673708526,0.041618909060923595,0.04164033785470648,0.028124285110184985,0.03567529124749375,0.0629799777830985
B5,3,WT,Ctrl,3,WT_Ctrl,B5_WT_Ctrl_3,0,0,0,0.004331048743441288,0.06420522338931645,-0.02263895645537158,-0.02449965014223175,-0.19798021937413535,-0.08517831095418346,-0.056350779316758415,-0.05341335707651919,-0.03541892362994375,-0.060662218608712404,-0.06236194995118324,-0.05118203213375317,-0.06353334502013638,-0.047169773915871634,-0.05504129740707037,-0.023388559820527725,-0.053662079313651224,-0.060093076095242975,-0.05337810443272487,-0.0383219010680129,-0.05544282709332282,-0.059732167607997814,-0.017419024661216587,-0.026264182093107137,-0.04480252971902177,-0.05716805634571652,-0.031414317160341154,-0.050387413903563744,-0.05029287878623117,-0.027507851802841175,-0.056572002468917144,-0.040627357810462464,-0.058406652856784466,-0.08160534425180332,-0.019125394202749467,-0.03315170778505776,-0.036422231235998685,-0.04457820227313308,-0.044418002385283574,-0.042493322555444815,-0.03861073534180603,-0.05978063081934443
B5,8,WT,EGF,2,WT_EGF,B5_WT_EGF_2,0,0,0,0.05199321969295649,0.042775838194194594,-0.4320193958638455,-0.21451221410829233,-0.6389541124946339,-0.3986918205660526,-0.2551075766547943,-0.19473869695988252,-0.14589082028002948,-0.23950700759603916,-0.2518052983077317,-0.2503573435844541,0.22825277381579143,0.3526740336090261,-0.20070636913723905,-0.16623593243935186,-0.34194166655838554,-0.24996261757671637,-0.205488966007424,0.16540222136640823,-0.253240203879531,-0.2883264035207421,0.3822346469065602,-0.258664045280284,-0.19848916183490076,-0.2973943339863955,-0.21594544603141935,-0.35410188881741844,-0.2884366389814527,-0.043414557128942696,-0.26105899426876733,-0.10698901879085682,-0.22490869863003043,-0.25201765925805686,-0.7050292365452555,-0.07026735854122945,-0.2865495271049171,-0.17858704056882954,-0.17588608953435955,-0.26755500140936017,0.2180984512649632,-0.1785469624407249
B5,9,WT,EGF,3,WT_EGF,B5_WT_EGF_3,0,0,0,0.015057363396581553,0.22950319151829285,-0.23376733897692376,-0.18988722638807637,-0.6152744049411946,-0.45173572129778683,-0.2795819611431055,-0.20672473460991314,-0.15666258323145965,-0.24891154547304278,-0.2643874839088519,-0.27727238052387293,0.26214348444357627,0.3365581246815066,-0.2183104078341898,-0.17805743981620686,-0.3395146086521352,-0.2763301461380361,-0.2478468843395874,-0.13708969512788244,-0.2813064520255476,-0.3386452216188745,0.36911432417111045,-0.2676554108230639,-0.22322290967967034,-0.31758844968034383,-0.24425044302591833,-0.396174880950364,-0.30108064707258364,0.06807793192109905,-0.25435592483237357,-0.1343018585538087,-0.2332490402952644,-0.29700057816615116,-0.7003187915634883,-0.08396092570706398,-0.18699871122662767,-0.19589101615257679,-0.19235672074096455,-0.34740664236772956,0.24468335344812203,-0.17673431317136487
B5,10,WT,EGF,4,WT_EGF,B5_WT_EGF_4,0,0,0,0.032666716080127244,-0.3081406285085444,-0.531048197923069,-0.20290179278749998,-0.7056450514210018,-0.37643073005024946,-0.2702562449196371,-0.19676524085918085,-0.1591412473817382,-0.24731194850734076,-0.2773510879450279,-0.24997949503151007,-0.2199968862999333,0.3930475157835339,0.22586714207791236,-0.1632906676364268,-0.3778939939402882,-0.2462382704793007,-0.1955131660937748,0.24436580314961903,-0.2617691866074804,-0.25476776201445916,0.3665324423935623,-0.23340412806163213,-0.2072066511678151,-0.3286535925747789,-0.20636642157194007,-0.2751150210869065,-0.28205524117435243,-0.05480399941632136,-0.2861418512767693,-0.0952330644846525,-0.23120812296710133,-0.27200571703258675,-0.7219905917852638,-0.058622256138931204,-0.18724119745725462,-0.19914369006737367,-0.19786895184919362,-0.1869385450385884,0.23524179918012347,-0.1762952667116538
B5,13,WT,WNT5A,1,WT_WNT5A,B5_WT_WNT5A_1,0,0,0,0.08896072240817249,-0.22327697517942574,0.07538270527671131,-0.011854259102638888,0.4765801733483941,-0.06870681514792144,-0.08335052666151453,-0.0553061343243416,-0.0345349965287074,-0.07720812540696323,-0.059118819312725154,-0.0799378848860363,-0.11455271820885256,0.08133595835121676,0.0674738336111794,-0.060649077893263445,-0.017697656971257553,-0.05292554512761122,-0.0787669591658543,0.09054729862184616,-0.09180505008929517,-0.11574640283157879,0.04199973675859916,0.03842833180800584,-0.07857518233585345,-0.07072827915861238,-0.03555356675855832,-0.0922102022035097,-0.05693796742883406,-0.01194891188364412,-0.05059669039388128,-0.04237930859886524,-0.06054189866272782,-0.12802876792275883,-0.09072952768422057,-0.05235844286499756,-0.2680615190094646,-0.05090386622980038,-0.0505996458130039,-0.027780927116797905,0.09957978970227996,-0.06421054471045888
B5,14,WT,WNT5A,2,WT_WNT5A,B5_WT_WNT5A_2,0,0,0,0.10562604771642438,-0.3404386843598402,0.140454782240652,-0.04429937176562462,0.19479318293814088,-0.29872163468478874,-0.20654022365693236,-0.19667323680036522,-0.16152861380169092,-0.19413483423399114,-0.1763329044964592,-0.17671160528004531,-0.30764808026879814,-0.14249963971114527,-0.19184381649982457,-0.2513269028216757,-0.05905240690448466,-0.16464022586089233,-0.16817484667519414,-0.19715588734226575,-0.23436397582484542,-0.3436990739585619,-0.16298771653237343,-0.21672252254930519,-0.2103524822437339,-0.1917899925532473,-0.104125473656808,-0.3299122804047938,-0.17668238915944218,-0.11093363860610746,-0.18187240686568115,-0.1418176968635611,-0.19485572042621263,-0.22680584990708907,0.20721686885049334,-0.1603837093848493,-0.635981283240799,-0.14137286390030507,-0.14090691941823244,0.05308633831009592,-0.10201470154602336,-0.23705344135117754
B5,15,WT,WNT5A,3,WT_WNT5A,B5_WT_WNT5A_3,0,0,0,0.019375182839197154,-0.12484557349565384,0.13379430728591757,-0.0821972066443793,0.07551804658913826,-0.2687454511201854,-0.2141515833734207,-0.1681641298147662,-0.09501787729493123,-0.19981470462918727,-0.20775374357341303,-0.16677234659620607,-0.23639250351192131,-0.11675472913203946,-0.13937696347995684,-0.09712230133037494,-0.14833655683145103,-0.18500145169921417,-0.14171301146593068,-0.11254876699698749,-0.20048069032509674,-0.13617449596164655,-0.2369147886783064,-0.13801965229637866,-0.18853889960574355,-0.18319739322973433,-0.1024449555492794,-0.259548252476634,-0.1670400171352131,-0.08930063714457401,-0.16332684678572357,-0.1480872856425781,-0.17748515217008262,-0.35456748873057825,-0.08276219757803975,-0.1774701112967585,-0.16892758160704313,-0.11656563065071313,-0.11646241844397076,0.12182584647395522,-0.06990393258156252,-0.18656371776883107
B5,16,WT,SEMA3A,1,WT_SEMA3A,B5_WT_SEMA3A_1,0,0,0,0.03520896350878304,0.10348254606823398,0.143953468225805,0.04143606034023535,-0.39994969973071004,-0.11025922758408666,-0.054728528048596625,0.044571585914193426,0.11727269911095524,-0.056389898346045325,-0.05872304818063684,0.1379860978072349,-0.12763830062926818,0.10972725553802987,0.1124882683597403,0.10041587586930031,-0.039487085644369424,-0.061832161013999014,0.0979091794539622,-0.10488015737081596,-0.07941667105041111,0.1446643989064084,-0.07790868163129734,-0.05831678886957329,-0.09262831513253919,-0.04034682752980072,-0.04670634730242601,-0.09975974495172597,-0.03317848493694195,-0.02905145679989032,-0.045757986144208576,-0.05299952137545036,-0.05969474590461751,-0.07138106828063333,-0.09862279943294872,-0.06112199443173752,0.2559362552311448,-0.024087147794098356,-0.02405060569563456,-0.05595839748754578,0.06625311663475948,0.04914009080291879
